sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Metal industry,26.08,23.44,20.56,26.08,21.28,24.80,27.28,26.96,28.64,26.80,28.80,12.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nann-energy products from fuels and solvent use,115.55,103.87,104.20,102.97,104.83,95.45,111.08,103.34,101.97,104.06,154.76,111.06,112.32,117.17,123.96,170.95,126.99,141.78,129.68,130.29,122.52,123.25,124.81,130.97,127.19,133.91,137.37,152.99,154.45,162.28,155.20,169.86,178.95,171.15,169.69,168.04
Other product manufacture and use,27.87,28.03,28.26,28.41,28.51,28.63,28.83,29.13,29.44,29.75,30.13,30.59,31.14,31.64,32.16,32.86,33.65,34.79,35.66,36.04,36.21,36.37,36.52,36.69,36.93,37.27,37.68,38.25,38.83,39.42,39.99,40.34,41.21,41.99,42.77,43.40
F-Gases,35.52,49.66,63.80,96.56,135.26,205.45,299.64,405.87,310.85,488.16,706.99,725.27,724.28,915.62,941.02,1123.73,1105.91,1106.32,1133.53,1101.98,1066.10,1070.80,1043.58,1072.19,1134.39,1130.64,1204.15,1136.88,831.80,808.68,648.246,692.63,658.99,604.65,603.39,636.11
Agriculture,20570.90,20707.38,20839.22,21084.46,21225.84,21867.86,22075.45,22183.48,22612.67,22266.72,21335.01,21033.20,20706.63,20996.16,20651.40,20183.73,19766.10,19628.48,19260.41,18844.47,18988.31,18557.34,18859.23,19448.64,19526.57,19920.55,20507.61,21126.96,21402.38,21283.51,21588.36,21967.61,21779.87,20719.55,20435.68,20398.45
Enteric fermentation,12480.17,12637.19,12829.66,12832.96,12783.90,12826.70,13171.05,13456.31,13635.43,13255.95,12685.17,12595.14,12456.88,12439.72,12398.02,12016.19,11834.23,11761.13,11612.33,11403.60,11205.42,11247.42,11565.56,11596.49,11901.19,12226.02,12628.47,12977.80,12916.60,13091.20,13260.19,13328.64,13356.73,13059.77,12696.14,12473.62
Manure management,2434.71,2457.31,2503.85,2504.47,2489.94,2496.48,2584.34,2642.36,2667.27,2576.46,2462.69,2469.81,2461.25,2431.56,2417.35,2395.54,2331.54,2342.63,2304.09,2291.37,2280.83,2309.62,2366.18,2364.14,2449.47,2499.78,2547.17,2638.58,2567.34,2609.38,2594.07,2550.67,2510.67,2453.04,2405.55,2367.94
Agricultural soils,4393.44,4352.35,4269.67,4411.98,4596.71,4807.65,4810.59,4628.62,4953.38,4962.22,4715.38,4473.43,4420.70,4599.77,4487.26,4355.82,4246.57,4117.32,3981.73,3867.88,4154.04,3791.81,3901.12,4257.15,4127.26,4154.65,4221.70,4468.53,4692.81,4460.15,4514.70,4684.00,4238.34,3823.25,3902.53,4130.20
Liming,355.04,315.15,255.60,357.30,269.64,494.60,484.03,423.49,305.58,383.23,366.38,385.28,273.90,386.76,240.80,266.73,254.86,376.77,262.21,307.32,427.93,360.68,229.40,515.69,391.07,401.15,433.60,332.75,461.06,343.90,399.48,597.41,623.98,457.80,453.53,409.09
Urea application,96.68,99.63,118.09,99.88,98.72,86.27,87.19,82.63,95.37,103.53,91.84,83.64,80.81,78.48,66.86,60.81,64.76,50.90,66.97,89.02,98.24,70.27,46.35,47.09,54.55,64.27,81.79,83.99,90.43,96.08,110.18,106.40,143.91,139.23,173.40,143.97
Agriculture/Forestry fuel combustion,723.08,750.89,761.32,764.79,869.08,997.71,803.03,830.84,823.89,869.08,900.37,910.80,914.28,917.75,879.51,943.78,904.76,859.06,929.50,788.41,745.72,714.47,680.82,590.39,529.00,509.63,535.12,554.56,589.69,609.88,650.31,642.34,852.66,723.28,739.39,808.51
Fishing,87.79,94.87,101.04,113.08,117.85,158.46,135.21,119.22,131.75,116.25,113.17,115.10,98.82,142.12,161.61,144.86,129.39,120.67,103.59,96.86,76.13,63.06,69.81,77.68,74.01,65.07,59.75,70.76,84.46,72.92,59.44,58.16,53.58,63.19,65.13,65.13
Waste,1709.24,1799.73,1872.61,1928.64,1978.89,2019.76,1884.43,1576.98,1626.60,1630.76,1643.28,1766.86,1880.89,1935.81,1656.72,1454.27,1489.06,962.34,800.18,603.78,594.31,688.43,594.27,764.64,949.69,1025.82,1019.29,988.08,943.38,908.39,888.92,833.97,879.58,840.93,822.65,819.54
Landfills,1476.24,1566.41,1636.80,1691.86,1742.79,1783.89,1648.46,1358.15,1414.94,1412.54,1420.24,1528.10,1610.07,1631.92,1340.46,1139.79,1191.23,709.00,540.93,342.15,336.52,449.99,356.46,525.30,721.54,792.35,803.01,755.85,713.82,664.49,643.64,589.43,634.03,593.87,585.62,580.47
Biological treatment of solid waste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.90,5.97,8.31,34.96,47.65,38.19,37.75,49.80,49.12,50.03,49.85,45.31,45.74,42.49,41.60,40.99,46.86,45.79,49.31,48.14,43.26,38.97,39.32,46.27,45.48
Incineration and open burning of waste,97.74,97.89,98.67,99.49,100.15,100.61,100.63,84.75,66.72,74.60,79.60,88.81,115.03,162.10,149.47,132.57,130.19,83.93,69.02,70.51,62.07,45.01,48.29,45.13,41.65,42.39,25.03,27.45,23.90,32.52,31.19,34.61,36.37,35.03,14.70,14.70
Wastewater treatment and discharge,135.25,135.43,137.13,137.29,135.95,135.26,135.34,134.08,144.94,143.62,143.44,146.05,149.81,133.49,131.83,134.26,129.45,131.66,140.42,141.99,145.69,143.58,144.22,148.47,144.00,149.49,150.27,157.91,159.87,162.06,165.94,166.67,170.21,172.71,176.06,178.89
"Land use, land-use change and forestry",6320.83,6028.42,5947.16,6125.20,5949.70,6764.27,6790.26,6224.09,6084.22,5614.77,6245.74,8204.30,7554.15,7575.25,6474.59,6207.53,4445.42,4039.98,3163.87,3069.45,4192.23,3465.22,2891.62,3137.12,2954.26,3009.08,2703.13,4004.69,2998.45,2904.78,3218.41,2871.94,2468.97,2964.96,2514.11,2514.11
Forest land,-1449.69,-1776.38,-1074.81,-1228.01,-1142.62,-918.20,-452.98,-1000.23,-714.95,-918.41,28.56,276.39,103.20,-763.82,-1560.81,-1320.15,-2594.34,-2800.02,-4480.18,-3970.97,-3670.37,-4280.97,-3921.21,-3988.76,-3905.26,-4123.24,-3842.75,-3475.80,-3478.89,-3324.85,-3195.44,-2507.83,-2699.77,-2549.55,-2572.32,-2572.32
Cropland,-48.09,-48.63,-49.52,-45.85,-48.74,-44.66,-48.94,-46.04,-44.19,-39.21,1.35,166.74,186.07,107.13,100.56,42.77,-27.40,-9.61,82.52,-13.07,-113.16,-69.11,13.32,-4.85,-51.20,-71.34,-92.59,-92.02,-154.80,-142.37,-125.21,-101.29,-83.40,81.78,10.59,10.59
Grassland,3924.80,4144.05,3624.04,3454.13,3398.67,3648.26,3424.60,3675.34,3597.06,3478.14,3176.27,3163.06,3534.15,3483.85,3380.17,3167.23,2990.73,3056.24,3246.99,3060.48,2728.42,2848.11,2844.58,2876.56,2676.55,2789.68,2556.79,2419.18,2499.01,2572.88,2576.83,2406.86,2424.60,2432.27,2373.27,2373.27
Wetlands,4245.30,4065.13,3944.01,4476.69,4308.68,4668.62,4529.65,4264.91,4024.35,4012.90,3989.09,5459.48,4481.36,5555.78,5253.21,5024.87,4903.30,4621.63,4626.88,4498.06,5841.96,5639.10,4558.11,4845.63,4922.08,4990.07,4785.56,5903.70,4581.15,4541.47,4675.03,3936.44,3575.98,3793.16,3372.92,3372.92
Settlements ,61.25,53.57,63.71,54.29,79.12,84.05,95.96,106.51,118.02,129.52,147.18,188.19,161.39,202.24,259.91,237.17,404.41,365.52,316.99,184.33,228.82,62.16,57.43,66.47,59.12,156.22,73.48,100.56,361.52,114.59,101.60,102.46,183.02,135.69,110.39,110.39
Other land,0.30,0.31,0.33,0.34,0.35,9.24,9.57,9.90,10.22,10.55,17.74,18.51,3.23,113.63,62.36,119.52,13.04,13.04,68.24,15.00,14.99,14.98,14.97,14.96,14.95,14.62,14.29,13.97,13.64,13.31,12.54,11.77,11.77,7.85,5.88,5.88
Harvested wood products,-413.04,-409.63,-560.58,-586.40,-645.76,-683.03,-767.60,-786.30,-906.29,-1058.71,-1114.44,-1068.07,-915.26,-1123.55,-1020.80,-1063.87,-1244.31,-1206.82,-697.57,-704.39,-838.42,-749.06,-675.58,-672.89,-761.97,-746.93,-791.66,-864.90,-823.17,-870.24,-826.95,-976.46,-943.23,-936.23,-786.62,-786.62
Other       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
