sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Enteric fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manure management,619.70,622.51,633.11,630.58,627.38,632.20,652.45,668.81,672.90,647.68,615.12,613.28,611.04,605.60,603.90,601.67,584.70,579.05,569.01,561.49,550.81,547.93,563.00,554.94,565.32,571.98,585.96,600.85,586.72,602.56,585.21,578.89,576.81,564.05,548.11,539.33
Agricultural soils,4393.44,4352.35,4269.67,4411.98,4596.71,4807.65,4810.59,4628.62,4953.38,4962.22,4715.38,4473.43,4420.70,4599.77,4487.26,4355.82,4246.57,4117.32,3981.73,3867.88,4154.04,3791.81,3901.12,4257.15,4127.26,4154.65,4221.70,4468.53,4692.81,4460.15,4514.70,4684.00,4238.34,3823.25,3902.53,4130.20
Liming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urea application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture/Forestry fuel combustion,61.59,63.96,64.85,65.14,74.02,84.98,68.40,70.77,70.18,74.02,76.69,77.58,77.87,78.17,74.91,80.39,77.06,73.17,79.17,67.15,63.52,60.86,57.99,50.29,45.06,43.41,45.58,47.23,50.23,51.95,55.39,54.71,72.63,61.61,62.98,68.87
Fishing,0.63,0.68,0.72,0.81,0.84,1.13,0.97,0.85,0.94,0.83,0.81,0.82,0.71,1.02,1.16,1.04,0.93,0.86,0.74,0.69,0.55,0.45,0.50,0.56,0.53,0.47,0.43,0.51,0.60,0.52,0.43,0.42,0.38,0.45,0.47,0.47
Waste,67.80,67.59,68.74,68.53,66.97,66.06,66.50,67.66,70.07,72.80,74.41,77.93,80.60,82.40,92.24,97.73,95.06,96.60,102.14,102.80,108.09,106.00,104.28,108.81,101.00,106.15,108.55,117.25,118.67,121.24,121.98,120.96,122.19,124.30,128.55,129.85
Landfills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological treatment of solid waste,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,2.16,3.01,12.66,17.26,13.83,13.67,18.04,17.79,18.10,18.01,16.35,16.47,15.23,14.70,14.53,16.20,15.54,16.48,15.73,13.73,12.65,12.72,15.07,14.72
Incineration and open burning of waste,0.98,0.98,0.99,1.01,1.02,1.03,1.03,0.88,0.72,0.85,0.92,1.06,1.61,2.21,1.79,1.48,1.46,0.76,0.63,0.65,0.58,0.48,0.45,0.42,0.38,0.39,0.23,0.25,0.22,0.30,0.28,0.31,0.33,0.32,0.13,0.13
Wastewater treatment and discharge,66.82,66.61,67.75,67.53,65.95,65.03,65.48,66.78,69.34,71.94,73.50,75.45,76.82,77.19,77.78,79.00,79.76,82.16,83.46,84.36,89.41,87.51,87.48,91.92,85.39,91.06,93.79,100.80,102.91,104.46,105.96,106.91,109.21,111.27,113.35,114.99
"Land use, land-use change and forestry",198.12,204.56,189.14,200.49,209.52,229.86,234.25,232.55,223.87,218.58,229.32,285.75,242.68,291.22,253.92,261.56,254.68,252.14,251.62,249.13,316.79,272.11,247.79,261.37,261.62,257.73,241.82,309.29,255.61,248.84,246.44,239.85,240.24,252.63,236.13,43.33
Forest land,148.48,152.71,155.75,159.44,165.15,170.86,179.48,179.37,181.27,182.26,185.64,191.60,192.11,196.90,197.30,197.91,201.73,203.33,203.70,201.53,208.72,209.42,203.29,204.71,205.11,204.97,204.69,213.73,207.76,205.91,205.78,205.13,205.99,206.99,207.96,0.00
Cropland,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.00,0.01,0.10,0.01,0.05,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.05
Grassland,7.82,16.26,1.22,2.43,2.79,11.40,4.34,13.18,8.36,2.93,2.85,7.81,18.16,16.97,5.87,5.11,3.93,5.59,9.14,4.66,11.89,8.83,11.47,11.86,10.37,10.61,3.96,9.20,4.25,2.87,4.55,3.35,3.20,5.14,1.39,13.53
Wetlands,39.49,33.56,29.74,36.56,38.52,44.19,46.48,35.59,29.33,27.95,36.32,79.33,24.45,66.63,41.36,43.99,37.52,30.75,27.06,27.11,82.49,42.51,22.05,33.41,35.82,31.18,22.29,73.71,31.09,26.69,23.38,18.73,18.19,28.17,15.42,22.74
Settlements ,2.32,2.02,2.42,2.05,3.03,3.33,3.80,4.22,4.67,5.13,4.08,6.38,7.43,9.44,7.71,12.25,9.23,10.20,9.08,13.21,11.07,8.72,8.37,8.78,7.71,8.41,8.40,10.21,10.12,11.05,10.53,10.55,10.78,10.90,10.31,7.01
Other land,0.00,0.00,0.01,0.01,0.01,0.07,0.13,0.18,0.24,0.30,0.42,0.53,0.53,1.23,1.58,2.27,2.27,2.27,2.62,2.62,2.62,2.62,2.62,2.61,2.61,2.55,2.50,2.44,2.38,2.32,2.21,2.09,2.09,1.39,1.04,0.00
Harvested wood products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
