sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Metal industry,26.08,23.44,20.56,26.08,21.28,24.80,27.28,26.96,28.64,26.80,28.80,12.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nann-energy products from fuels and solvent use,115.55,103.87,104.20,102.97,104.83,95.45,111.08,103.34,101.97,104.06,154.76,111.06,112.32,117.17,123.96,170.95,126.99,141.78,129.68,130.29,122.52,123.25,124.81,130.97,127.19,133.91,137.37,152.99,154.45,162.28,155.20,169.86,178.95,171.15,169.69,168.04
Other product manufacture and use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-Gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,1198.94,1194.41,1168.95,1267.53,1278.68,1648.85,1438.41,1382.87,1283.76,1395.49,1392.48,1414.61,1287.44,1444.03,1270.82,1332.82,1273.94,1331.62,1280.54,1212.21,1282.53,1145.83,966.58,1178.83,1001.98,995.22,1063.21,993.21,1173.60,1069.11,1162.36,1347.97,1599.56,1320.07,1366.61,1355.85
Enteric fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manure management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liming,355.04,315.15,255.60,357.30,269.64,494.60,484.03,423.49,305.58,383.23,366.38,385.28,273.90,386.76,240.80,266.73,254.86,376.77,262.21,307.32,427.93,360.68,229.40,515.69,391.07,401.15,433.60,332.75,461.06,343.90,399.48,597.41,623.98,457.80,453.53,409.09
Urea application,96.68,99.63,118.09,99.88,98.72,86.27,87.19,82.63,95.37,103.53,91.84,83.64,80.81,78.48,66.86,60.81,64.76,50.90,66.97,89.02,98.24,70.27,46.35,47.09,54.55,64.27,81.79,83.99,90.43,96.08,110.18,106.40,143.91,139.23,173.40,143.97
Agriculture/Forestry fuel combustion,660.30,685.69,695.21,698.39,793.62,911.08,733.31,758.70,752.36,793.62,822.19,831.72,834.89,838.07,803.15,861.84,826.20,784.47,848.79,719.95,680.97,652.44,621.70,539.13,483.07,465.38,488.66,506.41,538.49,556.92,593.84,586.57,778.63,660.48,675.20,738.31
Fishing,86.93,93.94,100.05,111.97,116.69,156.90,133.89,118.05,130.46,115.11,112.06,113.97,97.85,140.72,160.02,143.44,128.12,119.48,102.57,95.91,75.39,62.44,69.13,76.92,73.29,64.43,59.17,70.06,83.63,72.21,58.86,57.58,53.05,62.57,64.49,64.49
Waste,95.59,95.70,96.41,97.15,97.74,98.16,98.19,82.53,64.74,71.99,76.75,85.30,108.26,153.18,143.64,128.50,126.04,83.07,68.01,69.48,61.02,43.82,47.60,44.56,41.12,41.85,24.65,27.04,23.49,31.97,30.76,34.16,35.98,34.67,14.51,14.51
Landfills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biological treatment of solid waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineration and open burning of waste,95.59,95.70,96.41,97.15,97.74,98.16,98.19,82.53,64.74,71.99,76.75,85.30,108.26,153.18,143.64,128.50,126.04,83.07,68.01,69.48,61.02,43.82,47.60,44.56,41.12,41.85,24.65,27.04,23.49,31.97,30.76,34.16,35.98,34.67,14.51,14.51
Wastewater treatment and discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land use, land-use change and forestry",2042.64,1802.76,1783.17,1949.12,1778.13,2578.08,2614.43,2129.35,2046.20,1604.78,2210.83,3921.05,3622.43,3389.56,2427.90,2150.08,428.45,75.06,-771.81,-850.20,-52.29,-529.03,-940.59,-725.09,-910.60,-785.44,-1010.65,-55.79,-804.10,-868.55,-523.02,-908.20,-1338.94,-934.86,-1321.68,-121.93
Forest land,-1656.03,-1986.52,-1288.01,-1447.84,-1370.16,-1155.36,-703.72,-1246.34,-962.28,-1166.54,-225.71,11.40,-157.32,-1035.60,-1831.49,-1588.37,-2869.32,-3077.96,-4757.80,-4243.86,-3962.16,-4574.02,-4195.93,-4267.87,-4184.66,-4401.85,-4120.28,-3778.53,-3763.21,-3603.71,-3475.93,-2786.02,-2979.05,-2830.76,-2853.99,-1439.71
Cropland,-48.15,-48.67,-49.55,-45.90,-48.79,-44.74,-49.03,-46.09,-44.21,-39.23,1.30,166.24,186.02,106.87,100.00,42.65,-27.42,-9.61,82.50,-13.08,-113.18,-69.11,13.31,-4.85,-51.20,-71.34,-92.59,-92.02,-154.82,-142.39,-125.21,-101.31,-83.41,81.61,10.57,-60.54
Grassland,2259.44,2484.52,1991.67,1836.83,1785.02,2027.33,1814.46,2069.74,2006.29,1905.86,1608.56,1575.83,1969.68,1897.70,1822.40,1618.21,1453.58,1535.55,1743.77,1575.47,1217.49,1385.46,1409.18,1449.44,1266.28,1404.00,1202.64,1049.65,1167.62,1263.99,1278.12,1117.82,1144.15,1141.39,1095.74,1382.39
Wetlands,1841.18,1711.21,1628.04,2139.85,1981.39,2343.99,2218.72,2026.33,1829.37,1828.76,1780.70,3035.87,2382.66,3238.96,3044.81,2799.31,2710.02,2467.93,2483.95,2352.35,3414.05,3412.10,2447.20,2701.24,2757.42,2871.00,2714.55,3528.33,2407.02,2369.48,2525.73,1736.38,1340.86,1478.08,1107.90,1420.47
Settlements ,58.93,51.55,61.29,52.24,76.09,80.72,92.15,102.29,113.34,124.39,143.10,181.81,153.96,192.79,252.20,224.92,395.14,355.22,307.72,170.94,217.56,53.25,48.88,57.51,51.23,147.63,64.90,90.17,351.21,103.36,90.89,91.72,172.06,124.60,99.89,144.55
Other land,0.30,0.31,0.32,0.33,0.34,9.18,9.45,9.71,9.98,10.25,17.32,17.97,2.69,112.39,60.77,117.23,10.75,10.75,65.61,12.37,12.36,12.35,12.34,12.33,12.32,12.06,11.79,11.52,11.25,10.98,10.33,9.68,9.68,6.45,4.84,17.39
Harvested wood products,-413.04,-409.63,-560.58,-586.40,-645.76,-683.03,-767.60,-786.30,-906.29,-1058.71,-1114.44,-1068.07,-915.26,-1123.55,-1020.80,-1063.87,-1244.31,-1206.82,-697.57,-704.39,-838.42,-749.06,-675.58,-672.89,-761.97,-746.93,-791.66,-864.90,-823.17,-870.24,-826.95,-976.46,-943.23,-936.23,-786.62,-1586.49
Other       ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
