sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Manure management,1815.01,1834.80,1870.74,1873.89,1862.57,1864.28,1931.88,1973.56,1994.38,1928.78,1847.57,1856.53,1850.22,1825.95,1813.45,1793.87,1746.84,1763.58,1735.07,1729.88,1730.02,1761.70,1803.18,1809.20,1884.15,1927.80,1961.21,2037.73,1980.62,2006.82,2008.86,1971.78,1933.86,1888.98,1857.44,1828.61
Agricultural soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urea application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture/Forestry fuel combustion,1.19,1.24,1.26,1.26,1.44,1.65,1.33,1.37,1.36,1.44,1.49,1.50,1.51,1.52,1.45,1.56,1.49,1.42,1.54,1.30,1.23,1.18,1.12,0.98,0.87,0.84,0.88,0.92,0.97,1.01,1.07,1.06,1.41,1.19,1.22,1.34
Fishing,0.23,0.25,0.27,0.30,0.31,0.42,0.36,0.32,0.35,0.31,0.30,0.30,0.26,0.38,0.43,0.38,0.34,0.32,0.27,0.26,0.20,0.17,0.18,0.21,0.20,0.17,0.16,0.19,0.22,0.19,0.16,0.15,0.14,0.17,0.17,0.17
Waste,1545.85,1636.43,1707.46,1762.96,1814.17,1855.54,1719.74,1426.79,1491.79,1485.97,1492.12,1603.64,1692.04,1700.23,1420.84,1228.04,1267.97,782.67,630.03,431.50,425.21,538.61,442.39,611.28,807.56,877.82,886.10,843.79,801.22,755.18,736.18,678.85,721.41,681.96,679.59,675.17
Landfills,1476.24,1566.41,1636.80,1691.86,1742.79,1783.89,1648.46,1358.15,1414.94,1412.54,1420.24,1528.10,1610.07,1631.92,1340.46,1139.79,1191.23,709.00,540.93,342.15,336.52,449.99,356.46,525.30,721.54,792.35,803.01,755.85,713.82,664.49,643.64,589.43,634.03,593.87,585.62,580.47
Biological treatment of solid waste,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,3.81,5.30,22.30,30.39,24.36,24.08,31.76,31.33,31.93,31.84,28.95,29.27,27.26,26.89,26.46,30.66,30.25,32.83,32.42,29.53,26.32,26.60,31.20,30.76
Incineration and open burning of waste,1.18,1.21,1.27,1.33,1.38,1.43,1.42,1.33,1.25,1.76,1.94,2.45,5.17,6.72,4.03,2.60,2.69,0.10,0.38,0.38,0.47,0.71,0.24,0.16,0.15,0.16,0.15,0.16,0.19,0.25,0.15,0.13,0.06,0.05,0.05,0.05
Wastewater treatment and discharge,68.43,68.82,69.38,69.76,69.99,70.23,69.86,67.30,75.60,71.68,69.94,70.59,72.99,56.30,54.05,55.26,49.69,49.50,56.96,57.63,56.29,56.07,56.74,56.55,58.61,58.42,56.48,57.12,56.96,57.61,59.98,59.76,61.00,61.44,62.72,63.89
"Land use, land-use change and forestry",4080.07,4021.10,3974.85,3975.59,3962.06,3956.34,3941.58,3862.19,3814.14,3791.41,3805.60,3997.50,3689.04,3894.47,3792.77,3795.89,3762.30,3712.79,3684.07,3670.52,3927.72,3722.14,3584.42,3600.85,3603.24,3536.79,3471.95,3751.19,3546.94,3524.49,3494.98,3540.28,3567.66,3647.19,3599.65,3561.54
Forest land,57.85,57.43,57.45,60.39,62.39,66.29,71.26,66.73,66.06,65.87,68.63,73.39,68.42,74.88,73.38,70.32,73.25,74.61,73.91,71.36,83.06,83.63,71.43,74.40,74.29,73.63,72.84,89.01,76.55,72.94,74.71,73.06,73.29,74.22,73.72,0.00
Cropland,0.05,0.03,0.02,0.04,0.05,0.06,0.07,0.04,0.02,0.02,0.04,0.40,0.04,0.20,0.44,0.09,0.02,0.00,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.01,0.14,0.01,0.21
Grassland,1657.54,1643.28,1631.15,1614.88,1610.85,1609.53,1605.80,1592.42,1582.41,1569.34,1564.85,1579.41,1546.32,1569.18,1551.89,1543.91,1533.22,1515.10,1494.08,1480.35,1499.03,1453.82,1423.93,1415.26,1399.91,1375.07,1350.19,1360.33,1327.13,1306.02,1294.16,1285.69,1277.26,1285.73,1276.14,1285.60
Wetlands,2364.64,2320.36,2286.23,2300.28,2288.77,2280.44,2264.44,2203.00,2165.65,2156.18,2172.07,2344.28,2074.26,2250.19,2167.05,2181.56,2155.76,2122.95,2115.86,2118.61,2345.42,2184.49,2088.86,2110.99,2128.84,2087.89,2048.73,2301.66,2143.05,2145.31,2125.92,2181.32,2216.92,2286.91,2249.60,2275.72
Settlements ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.00
Other land,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,
Harvested wood products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
